name,ring,quadrant,isNew,description
.NET 6,Adopt,languages-and-frameworks,,
.NET Core 3.1,Adopt,languages-and-frameworks,,
.NET Framework migratie,Adopt,languages-and-frameworks,,
.NET5,Hold,languages-and-frameworks,,
.NET Full Framework,Hold,languages-and-frameworks,,
A/B or Canary testing,Adopt,Techniques,,
Agile,Adopt,languages-and-frameworks,,
AKKA.NET,Adopt,,,
Angular,Adopt,languages-and-frameworks,,
AngularJS,Hold,languages-and-frameworks,,
Ansible,Assess,,,
Applicatie servers,,Platforms,,
Artificial Intelligence,Trial,Techniques,,
AutoFixture,Adopt,,,
Algemene Verordening Gegevensbescherming (AVG),Adopt,,,
AWS,Adopt,Platforms,,
Azure,Adopt,Platforms,,
Azure Active Directory ,Adopt,Platforms,,
Azure AD ,Adopt,Platforms,,
Azure API Management,Trial,Platforms,,
Azure App Configuration ,Adopt,Platforms,,
Azure App Insights,Adopt,Platforms,,
Azure ARM,Adopt,Platforms,,
Azure Blob Storage ,Adopt,Platforms,,
Azure CDN ,Trial,Platforms,,
Azure CLI,Adopt,Platforms,,
Azure Cognitive Services,Trial,Platforms,,
Azure Container Registry,Adopt,Platforms,,
Azure Container Service,Trial,Platforms,,
Azure DevOps,Adopt,Platforms,,
Azure DevOps Server,Adopt,Platforms,,
Azure Event Hub ,Trial,Platforms,,
Azure Functions,Adopt,Platforms,,
Azure KeyVault,Adopt,Platforms,,
Azure Kubernetes Service,Trial,Platforms,,
Azure Load Balancer,Trial,Platforms,,
Azure Machine Learning,Assess,Platforms,,
Azure Mobile App Service,Assess,Platforms,,
Azure PlayFab,Hold,Platforms,,
Azure Portal,Adopt,Platforms,,
Azure Queue Storage,Adopt,Platforms,,
Azure Redis Cache,Trial,Platforms,,
Azure SQL Server,Adopt,Platforms,,
Azure Stack,Hold,Platforms,,
Azure Static WebApps,Adopt,Platforms,,
Azure Table Storage,Adopt,Platforms,,
Azure Virtual Machines,Adopt,Platforms,,
Azure WebApps,Adopt,Platforms,,
Bamboo,Hold,,,
Bash,Adopt,Tools,,
Behavior Driven Development,Adopt,Techniques,,
Bicep,Adopt,languages-and-frameworks,,
Bitbucket,Adopt,Tools,,
Bitbucket Pipelines,,Tools,,
Blazor,Trial,languages-and-frameworks,,
Blockchain,Trial,Techniques,,
Bootstrap,Adopt,,,
BPM,Adopt,Techniques,,
Brownfield verbetertrajecten,Trial,,,
C# 11,Trial,languages-and-frameworks,,
C#,Adopt,languages-and-frameworks,,
C# < 7,Hold,languages-and-frameworks,,
C4,Adopt,Techniques,,
Camunda,Adopt,Tools,,
Chef,Hold,Tools,,
Circle CI,Assess,Tools,,
Cloud Foundry,Assess,,,
Collaborative Modelling,Adopt,,,
Containers,Adopt,Platforms,,
Continuous Deployment,Adopt,Techniques,,
Cosmos DB,Trial,,,
CQRS,Trial,Techniques,,
CSS,Adopt,,,
Cucumber,Adopt,languages-and-frameworks,,
Cypress,Adopt,Tools,,
DAPPER,Adopt,languages-and-frameworks,,
Distributed Application Runtime (Dapr),Adopt,languages-and-frameworks,,
DevOps,Adopt,,,
Diagrams as Code,Trial,Techniques,,
Distributed Systems,Adopt,,,
Docker,Adopt,Platforms,,
Domain Driven Design,Trial,Techniques,,
Elastic Search,Adopt,Platforms,,
ELK stack,Adopt,Tools,,
Entity Framework,Adopt,languages-and-frameworks,,
Event Sourcing,Adopt,Techniques,,
eXtreme Programming,Adopt,Techniques,,
F#,Trial,languages-and-frameworks,,
FakeItEasy,Adopt,languages-and-frameworks,,
Firebase Cloud Messaging,Adopt,Platforms,,
Flutter,Trial,Platforms,,
Functional Programming,Trial,Techniques,,
GCP,Adopt,Platforms,,
GDPR,Adopt,Techniques,,
Git,Adopt,Tools,,
GitHub,Adopt,Platforms,,
GitHub Actions,Assess,Platforms,,
GitHub Enterprise,Trial,Platforms,,
Gitlab,Trial,Platforms,,
GitOps,Trial,Techniques,,
Google Cloud Messaging ,Hold,Platforms,,Ingehaald door Firebase cloud messaging
GraphQL,Adopt,Techniques,,
Gremlin,Assess,,,
gRPC,Adopt,Tools,,
Helm,Adopt,Tools,,
Hexagonal (onion),Trial,Techniques,,
HTML5,Adopt,languages-and-frameworks,,
HTMX,Assess,languages-and-frameworks,,
Huawei Cloud,Assess,Platforms,,
Hub-spoke architecture,Adopt,Techniques,,
IIS,Hold,Platforms,,
Infrastrucure as code,Adopt,Techniques,,
Integration Patterns,Adopt,Techniques,,
IoT Edge,Trial,Platforms,,
Jasmin,Adopt,Tools,,
JavaScript,Adopt,languages-and-frameworks,,
Jenkins,Adopt,Platforms,,
JetBrains ReSharper,Assess,Tools,,
JetBrains Rider,Assess,Tools,,
Jira,Hold,Tools,,
jQuery,Adopt,languages-and-frameworks,,
JWT,Adopt,Techniques,,
Kanban,Adopt,Techniques,,
Kubernetes,Adopt,Platforms,,
Kubernetes operators,Trial,Tools,,
Kustomize,Trial,Tools,,
LESS CSS,Trial,Techniques,,
Logic Apps,Adopt,Platforms,,
Lokale platte hosting providers,Assess,,,??
LowCode/NoCode platform,Assess,Platforms,,
Machine Learning,Trial,Techniques,,
Maui,Assess,languages-and-frameworks,,
Message brokers,Adopt,Techniques,,
Message Driven architecture,Adopt,Techniques,,
Micro Services,Adopt,Techniques,,
Migrate to Azure,Adopt,,,
Minimal API's,Trial,Techniques,,
MOQ,Adopt,Tools,,
MS Orleans,Adopt,languages-and-frameworks,,
MS Test,Adopt,Tools,,
Multi-cloud,Adopt,Platforms,,
Mutation testing,Assess,Techniques,,
MVC,Adopt,Techniques,,
MVVM,Adopt,Techniques,,
Node.JS,Adopt,Platforms,,
NoSQL,Adopt,Tools,,
NuGet,Adopt,Platforms,,
nUnit,Adopt,Tools,,
NX (NRWL),Assess,Tools,,
Oauth,Adopt,Techniques,,
Octopus Deploy,Hold,Tools,,
Office 365,Adopt,Platforms,,
OpenAI,,Tools,,
OpenAPI,Adopt,Tools,,
OpenID Connect,,Tools,,
OpenShift,Assess,Platforms,,
OpenSilver,Hold,,,Reimplementation of Silverlight
OWASP,Adopt,Techniques,,
OWIN,Adopt,Techniques,,
Password-less,Adopt,Techniques,,
Ports and adapters,,Techniques,,
PowerShell ,Adopt,languages-and-frameworks,,
Private cloud,Trial,Platforms,,
Progressive WebApps,Adopt,Techniques,,
Prometheus,Adopt,Tools,,Monitoring
Property based testing,,Techniques,,
Protractor,Adopt,Tools,,
Pulumi,Trial,Tools,,
Puppet,Hold,Tools,,
Python,,languages-and-frameworks,,
Quantum Q#,Assess,languages-and-frameworks,,
Raygun,Trial,Tools,,
React,Adopt,languages-and-frameworks,,
Reactive Extensions,Trial,Techniques,,
Reactive programming,,Techniques,,
Redis,Trial,Tools,,
Remix.Run,Assess,languages-and-frameworks,,Web UI framework
REST,Adopt,languages-and-frameworks,,
SAFe,Adopt,Techniques,,
Scrum,Adopt,languages-and-frameworks,,
Selenium,Adopt,Tools,,
Sentry,Assess,Tools,,Performance monitoring
Serverless,Adopt,Techniques,,
Service Fabric,Hold,languages-and-frameworks,,
Service Mesh,Adopt,Techniques,,
ServiceBus Queue,Adopt,Platforms,,
SharePoint Online,Adopt,Platforms,,
Sidecar architecture,Adopt,Techniques,,
SignalR,Adopt,Tools,,
Silverlight,Hold,Platforms,,
Snyk,Adopt,Platforms,,Developer security platform 
SOAP,Hold,languages-and-frameworks,,
SOAP-UI / LOAD-UI,Hold,Tools,,
SonarCloud,Adopt,Tools,,
SonarQube,Adopt,Tools,,
Specflow,Adopt,Tools,,
Stackify,Assess,Tools,,
Subversion,Hold,Tools,,
Swagger/OpenAPI,Adopt,Tools,,
Tailwind CSS,Assess,languages-and-frameworks,,
Terraform,Assess,Tools,,
Test Driven Development,Adopt,Techniques,,
TFS,Hold,Platforms,,
TFVC,Hold,Tools,,
Travis CI,Assess,Tools,,
TypeScript,Adopt,languages-and-frameworks,,
VB.NET,Hold,languages-and-frameworks,,
Visual Studio ,Adopt,Tools,,
Visual Studio Code,Adopt,Tools,,
Vue.js,Adopt,languages-and-frameworks,,
Vulcan,Hold,Platforms,,
WCF,Hold,Techniques,,
Web Components,,Techniques,,
Web3,Assess,languages-and-frameworks,,
Weblogic,,Platforms,,
WhiteSource Bolt,Adopt,Tools,,
WireMock,Adopt,Tools,,
WireMock.NET,Adopt,Tools,,
WPF,Hold,Platforms,,
Xamarin,Hold,Platforms,,
Xamarin Studio,Hold,Tools,,
xUnit,Adopt,Tools,,
YAML,Adopt,languages-and-frameworks,,
YARP,Adopt,Tools,,Yet Another Reverse Proxy
